Time,Latitude,Longitude,Unit,Operator,Technology,Service,Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-22 16:37:15.403000-05:00,41.698218,-86.234479,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,3.87,2065.228,3154.328,15562.064,9111.976,37142.304,3154.328,15562.064,,999054.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
2025-11-22 16:39:22.536000-05:00,41.697582,-86.234466,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.303,1268.23,606.944,6621.056,2490.224,19058.128,606.944,6621.056,,999207.0,Instagram,Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:40:00.756000-05:00,41.697949,-86.233353,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,15.568,513.506,1083.952,7933.16,3196.624,11250.912,1083.952,7933.16,,999282.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6135.0,Bowl
2025-11-22 16:40:18.089000-05:00,41.698218,-86.234671,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,3.904,2048.201,2458.984,18719.712,1750.488,9996.856,2458.984,18719.712,,999522.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:41:40.292000-05:00,41.697495,-86.234551,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,6.275,1273.869,657.472,6909.92,3991.264,23392.696,657.472,6909.92,,999191.0,Instagram,Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6615.0,Concourse
2025-11-22 16:42:47.330000-05:00,41.698214,-86.234649,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,,,,,,,,,,998871.0,Instagram,Send,System Release,Bowl,64957d65,Wi-Fi 6,NR,6055.0,Bowl
2025-11-22 16:44:21.648000-05:00,41.69809,-86.234881,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.198,1538.095,1094.864,5297.6,9883.664,21332.888,1094.864,5297.6,,999377.0,Instagram,Send,Completed,Concourse,7c36e7df,Wi-Fi 6,LTE,6855.0,Concourse
2025-11-22 16:46:21.989000-05:00,41.69804,-86.234856,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:0001:FACE:B00C:0000:25DE,18.642,428.792,802.488,2441.856,2131.768,11880.768,802.488,2441.856,,999193.0,Instagram,Send,Completed,Concourse,7c36e7df,Verizon,LTE,,Concourse
2025-11-22 16:47:04.056000-05:00,41.697944,-86.23311,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,12.845,622.197,524.128,2492.04,715.608,2910.952,524.128,2492.04,,999015.0,Instagram,Send,Completed,Bowl,a0654bd3,AT&T,NR-NSA,,Bowl
2025-11-22 16:48:19.295000-05:00,41.698712,-86.234615,QualiPoc_619529,T-Mobile,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,,,,,,,,,,999192.0,Instagram,Send,System Release,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:48:19.295000-05:00,41.698712,-86.234615,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,,,,,,,,,,999192.0,Instagram,Send,System Release,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 16:50:07.550000-05:00,41.697966,-86.23312,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,8.391,952.562,972.784,6761.872,7695.792,28058.96,972.784,6761.872,,999118.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6375.0,Bowl
2025-11-22 16:50:25.829000-05:00,41.698719,-86.234604,QualiPoc_619529,T-Mobile,LTE,Instagram,Post Picture,SEND,,57.144.204.192,3.599,2220.917,2874.464,16529.064,1602.624,7241.848,2874.464,16529.064,,999135.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6215.0,Bowl
