Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Send Duration,Delivery Duration,Start Time,Receive Time,Transmission Status,Delivery Status,Delivery Notification,Action Type,File Size,Measurement Name,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:19:20.428000-05:00,41.698847,-86.233168,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,2.151,3.419,2026-02-26 12:19:16.756,,Successful,Successful,Enabled,Send Picture,999191.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:19:21.055000-05:00,41.698466,-86.233172,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.255,1.901,2026-02-26 12:19:18.353,,Successful,Successful,Enabled,Send Picture,999049.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6675.0,Bowl,T-Mobile
2026-02-26 12:21:14.933000-05:00,41.698832,-86.23318,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.33,1.907,2026-02-26 12:21:12.194,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6055.0,Bowl,Verizon
2026-02-26 12:21:25.238000-05:00,41.698834,-86.233178,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.433,2.145,2026-02-26 12:21:22.326,,Successful,Successful,Enabled,Send Picture,999030.0,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6055.0,Bowl,Verizon
2026-02-26 12:21:44.444000-05:00,41.698466,-86.23337,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.689,1.938,2026-02-26 12:21:41.690,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6675.0,Bowl,T-Mobile
2026-02-26 12:21:57.512000-05:00,41.698471,-86.233364,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,2.497,4.248,2026-02-26 12:21:52.386,,Successful,Successful,Enabled,Send Picture,999165.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6675.0,Bowl,T-Mobile
2026-02-26 12:24:09.629000-05:00,41.698825,-86.233377,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.406,1.298,2026-02-26 12:24:07.683,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:24:13.473000-05:00,41.69884,-86.233379,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.211,1.526,2026-02-26 12:24:11.677,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:24:20.328000-05:00,41.698819,-86.233373,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.917,2.404,2026-02-26 12:24:17.265,,Successful,Successful,Enabled,Send Picture,999571.0,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:24:23.567000-05:00,41.69884,-86.233379,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.335,3.134,2026-02-26 12:24:20.158,,Successful,Successful,Enabled,Send Picture,998958.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
