Time,Latitude,Longitude,Unit,Operator,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size Of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,Data Technology Reporting,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-08 21:46:58.899000-05:00,41.698064,-86.234901,QualiPoc_396840,Verizon,2.865,0.242,160960.2314049584,303.0,499.0,2037.2445205387796,120.0,4869.047,2,Android 14 - WebView 117.0.5938.60,Page download completed,337,1,36,VZWINTERNET,,10.12.105.30,146.75.82.132,foxsports.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Wi-Fi 5,LTE,5500.0,Concourse
2025-11-08 21:47:04.151000-05:00,41.698062,-86.234894,QualiPoc_396840,Verizon,4.076,0.364,109952.21978022,411.0,618.0,1434.8229854992676,98.0,5002.826,1,Android 14 - WebView 117.0.5938.60,Page download completed,71,2,12,VZWINTERNET,,10.12.105.30,23.52.42.146,bleacherreport.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Wi-Fi 5,LTE,5500.0,Concourse
2025-11-08 21:47:26.108000-05:00,41.697925,-86.232989,QualiPoc_361786,AT&T,10.241,3.225,7069.8220155038725,316.0,502.0,285.4882151374502,50.0,2850.022,2,Android 14 - WebView 117.0.5938.60,Page download completed,35,0,6,enhancedphone,,10.4.148.124,57.144.180.192,instagram.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,LTE,,Concourse
2025-11-08 21:47:29.368000-05:00,41.697925,-86.232989,QualiPoc_361786,AT&T,2.039,1.069,11286.2712815716,273.0,420.0,1218.18134822167,102.0,1508.128,1,Android 14 - WebView 117.0.5938.60,Page download completed,6,0,1,enhancedphone,,10.4.148.124,146.75.40.159,x.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:47:38.737000-05:00,41.697911,-86.232981,QualiPoc_361786,AT&T,8.216,2.813,7570.775684322783,,,,35.0,2662.074,2,Android 14 - WebView 117.0.5938.60,Page download completed,106,0,3,enhancedphone,,10.4.148.124,23.54.78.52,tiktok.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:47:42.364000-05:00,41.697934,-86.232991,QualiPoc_361786,AT&T,2.473,1.733,5722.92671667628,101.0,440.0,595.2177244653388,36.0,1239.729,3,Android 14 - WebView 117.0.5938.60,Page download completed,28,0,2,enhancedphone,,10.4.148.124,142.250.190.142,youtube.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:47:46.352000-05:00,41.697922,-86.233015,QualiPoc_361786,AT&T,2.84,2.341,3598.089705254168,281.0,451.0,437.1657598586309,35.0,1052.891,2,Android 14 - WebView 117.0.5938.60,Page download completed,55,0,11,enhancedphone,,10.4.148.124,57.144.180.6,facebook.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:47:50.055000-05:00,41.697918,-86.232994,QualiPoc_361786,AT&T,2.558,1.97,3159.181189532224,343.0,463.0,385.6435398159902,31.0,777.951,2,Android 14 - WebView 117.0.5938.60,Page download completed,32,0,3,enhancedphone,,10.4.148.124,142.250.191.132,google.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:47:55.799000-05:00,41.697923,-86.232993,QualiPoc_361786,AT&T,4.508,0.974,29763.34291581112,250.0,403.0,892.4985714848672,36.0,3623.687,1,Android 14 - WebView 117.0.5938.60,Page download completed,113,0,13,enhancedphone,,10.4.148.124,151.101.146.133,247sports.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
2025-11-08 21:48:03.535000-05:00,41.697944,-86.232982,QualiPoc_361786,AT&T,6.509,0.888,50759.981981982,227.0,402.0,911.8831180601592,26.0,5634.358,1,Android 14 - WebView 117.0.5938.60,Page download completed,240,0,47,enhancedphone,,10.4.148.124,23.61.89.163,ncaa.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,AT&T,NR-NSA,,Concourse
