Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:40:15.005000-05:00,41.697977,-86.23321,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,3.104,2.627,7128.348684610408,276.0,462.0,870.15993766654,35.0,2340.772,2,Android 14 - WebView 117.0.5938.60,Page download completed,78,0,0,VZWINTERNET,,100.71.235.190,23.51.25.204,tiktok.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:40:18.376000-05:00,41.697977,-86.23321,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,2.145,1.892,4906.953620250848,55.0,96.0,598.9920553646933,39.0,1160.492,2,Android 14 - WebView 117.0.5938.60,Page download completed,59,0,11,VZWINTERNET,,2600:1008:B013:BF9F:39A6:0170:6C7D:0353,2A03:2880:F366:0006:FACE:B00C:0000:14C9,facebook.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:40:20.565000-05:00,41.697964,-86.233151,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,10.642,9.82,2565.109757597896,395.0,785.0,313.1237270875762,52.0,3148.672,2,Android 16 - WebView 134.0.6998.135,Page download completed,31,0,4,enhancedphone,,2600:0382:AC07:8D8F:D1EE:D1D0:E1EA:B507,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,instagram.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,LTE,,Bowl,AT&T
2026-02-26 12:40:23.043000-05:00,41.697977,-86.23321,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,3.503,3.108,25777.03537711264,165.0,369.0,3146.60848767294,39.0,10014.371,1,Android 14 - WebView 117.0.5938.60,Page download completed,243,2,53,VZWINTERNET,,2600:1008:B013:BF9F:39A6:0170:6C7D:0353,2600:1407:3C00:0983:0000:0000:0000:3134,ncaa.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:40:26.442000-05:00,41.697977,-86.23321,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,2.175,1.831,10440.141467962,144.0,324.0,1274.429529628623,28.0,2389.484,1,Android 14 - WebView 117.0.5938.60,Page download completed,111,0,7,VZWINTERNET,,2600:1008:B013:BF9F:39A6:0170:6C7D:0353,2001:4998:0060:0807:0000:0000:0000:0002,sports.yahoo.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:40:28.425000-05:00,41.697958,-86.233132,20260226_preGame_Bowl,QualiPoc_619529,AT&T,5G NR,6.614,5.76,5718.3051492982,530.0,763.0,698.0356852213545,53.0,4117.182,2,Android 16 - WebView 134.0.6998.135,Page download completed,195,0,10,enhancedphone,,10.148.63.55,23.192.220.196,tiktok.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:40:28.425000-05:00,41.697958,-86.233132,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,6.614,5.76,5718.3051492982,530.0,763.0,698.0356852213545,53.0,4117.182,2,Android 16 - WebView 134.0.6998.135,Page download completed,195,0,10,enhancedphone,,10.148.63.55,23.192.220.196,tiktok.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:40:32.224000-05:00,41.697958,-86.233136,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,2.577,2.165,4567.835206464296,209.0,350.0,557.595536229792,58.0,1236.167,2,Android 16 - WebView 134.0.6998.135,Page download completed,60,0,11,enhancedphone,,2600:0382:AC07:8D8F:D1EE:D1D0:E1EA:B507,2A03:2880:F366:0006:FACE:B00C:0000:14C9,facebook.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:40:42.723000-05:00,41.697965,-86.23314,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,9.347,8.74,9495.92119258968,408.0,614.0,1159.1699665689357,64.0,10374.293,1,Android 16 - WebView 134.0.6998.135,Page download completed,259,2,68,enhancedphone,,2600:0382:AC07:8D8F:D1EE:D1D0:E1EA:B507,2600:1405:D400:0287:0000:0000:0000:3134,ncaa.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:40:48.305000-05:00,41.697966,-86.233144,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,4.326,3.719,8928.66562849736,382.0,599.0,1089.925414678008,57.0,4150.715,1,Android 16 - WebView 134.0.6998.135,Page download completed,243,1,33,enhancedphone,,2600:0382:AC07:8D8F:D1EE:D1D0:E1EA:B507,2001:4998:0060:0807:0000:0000:0000:0001,sports.yahoo.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
